InvoiceID,RentTime,TotalPrice,PaymentMethod,CreateTime,Status,BookingID,DiscountID,CourtID,CID
INV00001,2024-04-11 09:00:00,296000,ZaloPay,2024-04-11 09:00:00,Đã thanh toán,BKG00936,,CRT0086,EMP0026
INV00002,2024-03-30 18:00:00,1196000,ShopeePay,2024-03-30 18:00:00,Hủy,BKG00795,,CRT0053,EMP0140
INV00003,2024-05-28 18:00:00,276000,ZaloPay,2024-05-28 18:00:00,Đã thanh toán,BKG00912,,CRT0017,EMP0110
INV00004,2024-04-28 19:00:00,451000,Chuyển khoản ngân hàng,2024-04-28 19:00:00,Hủy,BKG01004,,CRT0106,EMP0033
INV00005,2024-03-29 17:00:00,360000,Chuyển khoản ngân hàng,2024-03-29 17:00:00,Đã thanh toán,BKG00974,,CRT0052,EMP0066
INV00006,2024-01-05 18:00:00,120000,VNPay,2024-01-05 18:00:00,Đã thanh toán,BKG00019,,CRT0072,EMP0129
INV00007,2024-03-08 20:00:00,607000,Thẻ Visa/Master,2024-03-08 20:00:00,Đã thanh toán,BKG01175,DSC010,CRT0013,EMP0121
INV00008,2024-01-15 19:00:00,787000,Thẻ Visa/Master,2024-01-15 19:00:00,Đã thanh toán,BKG01224,,CRT0064,EMP0138
INV00009,2024-10-12 16:00:00,220000,Chuyển khoản ngân hàng,2024-10-12 16:00:00,Đã thanh toán,BKG01394,DSC046,CRT0016,EMP0044
INV00010,2024-12-29 20:00:00,747000,Tiền mặt,2024-12-29 20:00:00,Đã thanh toán,BKG01132,,CRT0001,EMP0046
INV00011,2024-09-01 20:00:00,385000,Tiền mặt,2024-09-01 20:00:00,Đã thanh toán,BKG01392,DSC045,CRT0038,EMP0093
INV00012,2024-05-12 19:00:00,246000,Chuyển khoản ngân hàng,2024-05-12 19:00:00,Đã thanh toán,BKG01151,,CRT0051,EMP0014
INV00013,2024-02-16 19:00:00,606000,Tiền mặt,2024-02-16 19:00:00,Đã thanh toán,BKG00612,,CRT0028,EMP0051
INV00014,2024-10-13 20:00:00,733000,MoMo,2024-10-13 20:00:00,Đã thanh toán,BKG01380,,CRT0067,EMP0102
INV00015,2024-05-21 17:00:00,395000,Chuyển khoản ngân hàng,2024-05-21 17:00:00,Hủy,BKG01227,DSC036,CRT0059,EMP0043
INV00016,2024-03-13 08:00:00,1048000,Tiền mặt,2024-03-13 08:00:00,Đã thanh toán,BKG00910,,CRT0108,EMP0117
INV00017,2024-11-03 19:00:00,247000,Tiền mặt,2024-11-03 19:00:00,Đã thanh toán,BKG00053,,CRT0105,EMP0111
INV00018,2024-09-22 14:00:00,392000,Thẻ Visa/Master,2024-09-22 14:00:00,Đã thanh toán,BKG00549,,CRT0050,EMP0065
INV00019,2024-05-28 18:00:00,1141000,MoMo,2024-05-28 18:00:00,Đã thanh toán,BKG00966,,CRT0065,EMP0012
INV00020,2024-04-28 19:00:00,471000,Tiền mặt,2024-04-28 19:00:00,Đã thanh toán,BKG01004,,CRT0092,EMP0115
INV00021,2024-12-23 20:00:00,361000,Tiền mặt,2024-12-23 20:00:00,Đã thanh toán,BKG01166,,CRT0061,EMP0004
INV00022,2024-07-12 19:00:00,1327000,MoMo,2024-07-12 19:00:00,Đã thanh toán,BKG00051,,CRT0032,EMP0043
INV00023,2024-01-10 17:00:00,1198000,Tiền mặt,2024-01-10 17:00:00,Đã thanh toán,BKG00280,DSC039,CRT0044,EMP0087
INV00024,2024-05-13 17:00:00,1032000,Tiền mặt,2024-05-13 17:00:00,Hủy,BKG01341,,CRT0052,EMP0006
INV00025,2024-01-21 18:00:00,865000,ZaloPay,2024-01-21 18:00:00,Đã thanh toán,BKG00347,DSC017,CRT0034,EMP0104
INV00026,2024-09-17 20:00:00,733000,Tiền mặt,2024-09-17 20:00:00,Chưa thanh toán,BKG00683,,CRT0045,EMP0082
INV00027,2024-02-23 17:00:00,925000,ZaloPay,2024-02-23 17:00:00,Hủy,BKG00852,,CRT0079,EMP0007
INV00028,2024-04-17 08:00:00,717000,Thẻ Visa/Master,2024-04-17 08:00:00,Đã thanh toán,BKG01228,,CRT0023,EMP0126
INV00029,2024-07-29 20:00:00,408000,Thẻ Visa/Master,2024-07-29 20:00:00,Hủy,BKG00313,DSC058,CRT0094,EMP0104
INV00030,2024-10-01 17:00:00,807000,Chuyển khoản ngân hàng,2024-10-01 17:00:00,Đã thanh toán,BKG00208,,CRT0031,EMP0075
INV00031,2024-11-29 22:00:00,1286000,Tiền mặt,2024-11-29 22:00:00,Đã thanh toán,BKG00928,,CRT0077,EMP0141
INV00032,2024-12-04 20:00:00,307000,Chuyển khoản ngân hàng,2024-12-04 20:00:00,Đã thanh toán,BKG00233,,CRT0073,EMP0078
INV00033,2024-07-03 22:00:00,591000,Chuyển khoản ngân hàng,2024-07-03 22:00:00,Đang xử lý,BKG01185,DSC043,CRT0064,EMP0014
INV00034,2024-05-22 17:00:00,445000,Chuyển khoản ngân hàng,2024-05-22 17:00:00,Đã thanh toán,BKG00789,,CRT0069,EMP0026
INV00035,2024-11-29 22:00:00,527000,Thẻ Visa/Master,2024-11-29 22:00:00,Đã thanh toán,BKG00292,,CRT0103,EMP0049
INV00036,2024-12-31 18:00:00,319000,ZaloPay,2024-12-31 18:00:00,Đã thanh toán,BKG01375,DSC045,CRT0096,EMP0065
INV00037,2024-06-06 19:00:00,556000,Tiền mặt,2024-06-06 19:00:00,Chưa thanh toán,BKG00370,,CRT0074,EMP0119
INV00038,2024-06-23 17:00:00,622000,Tiền mặt,2024-06-23 17:00:00,Đã thanh toán,BKG01011,,CRT0030,EMP0050
INV00039,2024-06-25 20:00:00,979000,Thẻ Visa/Master,2024-06-25 20:00:00,Đã thanh toán,BKG00338,,CRT0100,EMP0080
INV00040,2024-06-16 14:00:00,660000,MoMo,2024-06-16 14:00:00,Hủy,BKG01302,DSC009,CRT0016,EMP0009
INV00041,2024-11-26 18:00:00,577000,Tiền mặt,2024-11-26 18:00:00,Đã thanh toán,BKG01399,DSC045,CRT0050,EMP0144
INV00042,2024-09-20 17:00:00,486000,Tiền mặt,2024-09-20 17:00:00,Đã thanh toán,BKG00996,DSC011,CRT0009,EMP0073
INV00043,2024-06-10 19:00:00,370000,Thẻ Visa/Master,2024-06-10 19:00:00,Đã thanh toán,BKG00813,DSC021,CRT0041,EMP0108
INV00044,2024-07-17 10:00:00,256000,Thẻ Visa/Master,2024-07-17 10:00:00,Đã thanh toán,BKG00144,DSC010,CRT0025,EMP0040
INV00045,2024-05-10 17:00:00,424000,Tiền mặt,2024-05-10 17:00:00,Đã thanh toán,BKG00518,DSC008,CRT0104,EMP0053
INV00046,2024-06-18 11:00:00,767000,Chuyển khoản ngân hàng,2024-06-18 11:00:00,Đã thanh toán,BKG00077,DSC018,CRT0099,EMP0070
INV00047,2024-10-14 17:00:00,513000,MoMo,2024-10-14 17:00:00,Đã thanh toán,BKG00115,DSC008,CRT0073,EMP0002
INV00048,2024-04-14 18:00:00,543000,MoMo,2024-04-14 18:00:00,Đã thanh toán,BKG01369,DSC036,CRT0014,EMP0130
INV00049,2024-05-07 19:00:00,828000,Chuyển khoản ngân hàng,2024-05-07 19:00:00,Đã thanh toán,BKG00414,DSC015,CRT0076,EMP0083
INV00050,2024-09-07 17:00:00,315000,Chuyển khoản ngân hàng,2024-09-07 17:00:00,Đã thanh toán,BKG00086,,CRT0083,EMP0050
INV00051,2024-11-26 20:00:00,791000,Tiền mặt,2024-11-26 20:00:00,Đã thanh toán,BKG00072,DSC018,CRT0018,EMP0030
INV00052,2024-03-28 09:00:00,636000,Chuyển khoản ngân hàng,2024-03-28 09:00:00,Đã thanh toán,BKG01260,,CRT0087,EMP0128
INV00053,2024-03-31 19:00:00,739000,Tiền mặt,2024-03-31 19:00:00,Hủy,BKG01279,,CRT0031,EMP0122
INV00054,2024-02-04 21:00:00,559000,Chuyển khoản ngân hàng,2024-02-04 21:00:00,Hủy,BKG01051,DSC060,CRT0026,EMP0101
INV00055,2024-10-28 18:00:00,750000,ZaloPay,2024-10-28 18:00:00,Đã thanh toán,BKG00196,,CRT0068,EMP0082
INV00056,2024-09-14 18:00:00,289000,Thẻ Visa/Master,2024-09-14 18:00:00,Đã thanh toán,BKG00324,,CRT0016,EMP0021
INV00057,2024-07-24 19:00:00,470000,Chuyển khoản ngân hàng,2024-07-24 19:00:00,Đã thanh toán,BKG00815,,CRT0015,EMP0087
INV00058,2024-04-22 18:00:00,656000,ZaloPay,2024-04-22 18:00:00,Đã thanh toán,BKG01257,DSC008,CRT0097,EMP0138
INV00059,2024-11-15 20:00:00,1198000,Thẻ Visa/Master,2024-11-15 20:00:00,Đã thanh toán,BKG01065,,CRT0002,EMP0047
INV00060,2024-07-26 18:00:00,388000,Chuyển khoản ngân hàng,2024-07-26 18:00:00,Đang xử lý,BKG00520,,CRT0080,EMP0012
INV00061,2024-07-17 17:00:00,614000,Chuyển khoản ngân hàng,2024-07-17 17:00:00,Đã thanh toán,BKG01027,,CRT0042,EMP0012
INV00062,2024-07-04 20:00:00,526000,Chuyển khoản ngân hàng,2024-07-04 20:00:00,Đã thanh toán,BKG00793,,CRT0007,EMP0139
INV00063,2024-11-25 18:00:00,986000,Chuyển khoản ngân hàng,2024-11-25 18:00:00,Hủy,BKG01242,,CRT0074,EMP0072
INV00064,2024-03-15 17:00:00,727000,Thẻ Visa/Master,2024-03-15 17:00:00,Đã thanh toán,BKG00003,DSC049,CRT0005,EMP0079
INV00065,2024-03-28 18:00:00,553000,Thẻ Visa/Master,2024-03-28 18:00:00,Đã thanh toán,BKG00100,DSC037,CRT0087,EMP0001
INV00066,2024-11-19 18:00:00,367000,ZaloPay,2024-11-19 18:00:00,Hủy,BKG01018,,CRT0064,EMP0085
INV00067,2024-01-18 20:00:00,640000,Chuyển khoản ngân hàng,2024-01-18 20:00:00,Đã thanh toán,BKG00471,DSC025,CRT0021,EMP0037
INV00068,2024-01-14 18:00:00,787000,MoMo,2024-01-14 18:00:00,Hủy,BKG01156,DSC020,CRT0075,EMP0115
INV00069,2024-04-22 20:00:00,214000,MoMo,2024-04-22 20:00:00,Đã thanh toán,BKG01205,DSC059,CRT0014,EMP0144
INV00070,2024-02-01 17:00:00,619000,Tiền mặt,2024-02-01 17:00:00,Chưa thanh toán,BKG01043,,CRT0034,EMP0109
INV00071,2024-10-24 17:00:00,140000,Tiền mặt,2024-10-24 17:00:00,Chưa thanh toán,BKG00354,DSC043,CRT0036,EMP0084
INV00072,2024-11-15 15:00:00,1239000,MoMo,2024-11-15 15:00:00,Đã thanh toán,BKG00617,,CRT0035,EMP0077
INV00073,2024-07-13 18:00:00,1176000,Chuyển khoản ngân hàng,2024-07-13 18:00:00,Đã thanh toán,BKG00835,,CRT0010,EMP0001
INV00074,2024-05-23 15:00:00,1694000,ZaloPay,2024-05-23 15:00:00,Đã thanh toán,BKG01014,,CRT0032,EMP0004
